calling_number,called_number,start_date,end_date,duration,cell_site
3575715668,3909281743,1656193684,1656194520,836,1257
3195534254,3599869347,1649747953,1649748463,510,1115
3277577090,3675481622,1652469528,1652470244,716,957
3636879699,3129594470,1668315899,1668316299,400,1147
3097457183,3272428764,1650272945,1650273248,303,2076
3339312980,3866431229,1645259621,1645259735,114,2259
3143679923,3560053389,1649785688,1649786526,838,527
3970970054,3003728684,1643276173,1643276326,153,2269
3089574886,3180062640,1642560099,1642560898,799,817
3095124554,3044854518,1667230189,1667230644,455,631
3813632607,3508398331,1646529795,1646530583,788,1807
3993994586,3076307729,1661435417,1661435724,307,1793
3272912522,3160071792,1662956569,1662957318,749,1002
3365829981,3603096470,1649450485,1649451481,996,1426
3773488272,3999390272,1663295504,1663295679,175,220
3218686367,3432059238,1657205611,1657205948,337,2343
3097982496,3002829154,1643584551,1643585369,818,369
3382133724,3948074176,1641877275,1641878213,938,2261
3658477943,3038529026,1644694456,1644694785,329,1072
3034147055,3282275875,1659004182,1659004674,492,2243
3985418000,3605195406,1668278041,1668278777,736,771
3720248207,3637518238,1650099875,1650100514,639,22
3923907099,3714535860,1648016503,1648017374,871,1518
3305480485,3568097363,1665711385,1665711787,402,1313
3695478448,3937728696,1667867903,1667868340,437,2320
3106732056,3471085694,1657564363,1657564928,565,2096
3913288832,3165208023,1665068755,1665069176,421,2226
3166206557,3962062858,1667688086,1667688432,346,2388
3748492935,3724455974,1657732589,1657733164,575,1322
3985326073,3620616287,1664223116,1664223708,592,1195
3571428723,3774816472,1651658688,1651658759,71,2277
3423640116,3259625938,1657305925,1657306575,650,379
3628729475,3075288965,1662368060,1662368853,793,945
3913608544,3791460437,1649624795,1649624950,155,1855
3571477883,3107982351,1656798178,1656798684,506,2314
3460687455,3170158934,1654521705,1654522111,406,2444
3903560788,3964637208,1649992732,1649993078,346,2007
3303986609,3632155506,1666093657,1666093864,207,1344
3547072063,3179891006,1661037974,1661038025,51,216
3744829701,3597661669,1668339338,1668339425,87,915
3760817382,3098538909,1653141463,1653142261,798,1249
3133647753,3748556962,1646090938,1646091761,823,282
3887409378,3739406554,1646170945,1646171311,366,2187
3566824993,3745248673,1653229899,1653230121,222,151
3121651540,3197466224,1661333898,1661334859,961,2498
3421772590,3884100790,1669130332,1669130710,378,2361
3844560489,3586128295,1649046580,1649047559,979,1685
3847237978,3566818588,1643790115,1643790580,465,1327
3713520914,3670622586,1642923433,1642923623,190,997
3876097800,3175295329,1656540025,1656540521,496,1900
3777846262,3434182192,1663595122,1663595602,480,1966
3939948508,3175298013,1660285567,1660285650,83,2115
3329190028,3862583365,1654759902,1654760194,292,1351
3326881805,3533497399,1669427907,1669428200,293,403
3452843457,3149135097,1663422927,1663423161,234,1450
3391206046,3037844343,1650110294,1650111221,927,2263
3840659531,3428299424,1662579600,1662580421,821,248
3627385112,3486061006,1669508111,1669508648,537,2406
3526315797,3349724698,1667251851,1667251857,6,1256
3561573044,3876867156,1652802780,1652803556,776,788
3641493201,3652177742,1645355986,1645356520,534,1392
3104459009,3182982515,1647563069,1647563101,32,314
3876696308,3188162412,1649678845,1649679216,371,861
3813632607,3439120258,1663905688,1663906348,660,1928
3004100055,3604954681,1661791800,1661792659,859,1348
3038630181,3682922389,1667672556,1667673427,871,2312
3528288695,3368987950,1642035768,1642036340,572,1736
3749327438,3563972468,1667240894,1667241496,602,2286
3761307187,3426666423,1659729760,1659730629,869,980
3216912897,3774164657,1655458782,1655459007,225,1595
3678404361,3486832676,1645225521,1645226097,576,1960
3358241145,3190972776,1669703936,1669704684,748,1564
3102820806,3393911160,1657859318,1657859839,521,2092
3469507401,3636960130,1642963511,1642964026,515,1513
3228366627,3034643506,1664575126,1664575625,499,2424
3530157274,3719884534,1664581394,1664581418,24,1010
3046640828,3948577391,1641067748,1641068725,977,2221
3877902487,3984818292,1663031592,1663032172,580,724
3414901923,3800312034,1641871477,1641871568,91,1510
3147792323,3901902653,1662688249,1662689210,961,136
3465238210,3587508502,1643175386,1643176114,728,2119
3751022139,3354330082,1660445949,1660445978,29,807
3378522829,3641752896,1653278302,1653278452,150,101
3057090135,3992708211,1664250413,1664250901,488,1366
3315583401,3904546701,1658606566,1658607517,951,1906
3445031830,3758708262,1644778758,1644779235,477,1962
3749211785,3726788021,1656861286,1656861708,422,1729
3533898881,3720941666,1648874900,1648875875,975,403
3218136112,3938505582,1646414318,1646415316,998,657
3442209140,3911588238,1667371708,1667372577,869,1225
3937758732,3734621671,1668885866,1668886445,579,2421
3611657912,3792253761,1657301864,1657302231,367,1111
3050370620,3773196864,1651802673,1651803117,444,1847
3697822889,3866158221,1650157175,1650157180,5,1190
3905969199,3735946925,1655884130,1655884883,753,273
3993798870,3440598942,1645250856,1645250899,43,1728
3650563043,3645850762,1648378720,1648379491,771,308
3784594026,3443161524,1652734979,1652735161,182,1359
3647398701,3248324593,1663819740,1663820576,836,2137
3877205464,3546192493,1665320379,1665321060,681,1918
3043604048,3911439857,1649716001,1649716438,437,948
3928361511,3279538648,1652873839,1652874199,360,1349
3086894794,3698633384,1668976867,1668977549,682,2106
3047922240,3911632634,1667714703,1667715107,404,495
3258577325,3340427847,1653442714,1653443141,427,27
3325735696,3497045946,1645399713,1645400216,503,377
3750765878,3567491118,1666358881,1666359294,413,251
3616794499,3257203631,1667863888,1667864839,951,2474
3990037235,3243883781,1659115245,1659115699,454,357
3984050382,3288490513,1650726769,1650727627,858,54
3014438377,3741929805,1641154898,1641155351,453,92
