first_name,last_name,full_name,number
Ronaldo,Gualtieri,Ronaldo Gualtieri,3766160943
Marco,Malipiero-Boldù,Marco Malipiero-Boldù,3216582576
Pompeo,Verdi,Pompeo Verdi,3489473144
Dott.,Michele,Dott. Michele Gagliano,3278689627
Temistocle,Cavanna,Temistocle Cavanna,3478219461
Nico,Catalano,Nico Catalano,3481149583
Delfino,Casale,Delfino Casale,3880439495
Pasqual,Foa,Pasqual Foa,3166206557
Orlando,Ruggeri,Orlando Ruggeri,3469524230
Antonino,Albertini-Giannone,Antonino Albertini-Giannone,3185444969
Camillo,Bonanno-Franceschi,Camillo Bonanno-Franceschi,3798728420
Maria,Ossola,Maria Ossola,3023421632
Sig.,Mariano,Sig. Mariano Piacentini,3955055535
Emma,Cianciolo,Emma Cianciolo,3411993487
Dott.,Ludovica,Dott. Ludovica Ponti,3267045921
Ivo,Ludovisi,Ivo Ludovisi,3786322776
Luisa,Camilleri,Luisa Camilleri,3583864167
Eraldo,Tencalla,Eraldo Tencalla,3214698363
Cipriano,Piccinni,Cipriano Piccinni,3377774902
Sig.ra,Camilla,Sig.ra Camilla Bianchi,3691607111
Valeria,Tebaldi,Valeria Tebaldi,3569600936
Raffaele,Ciampi,Raffaele Ciampi,3272623699
Diana,Paolucci,Diana Paolucci,3631340178
Berenice,Draghi,Berenice Draghi,3886780901
Rosaria,Grifeo,Rosaria Grifeo,3795342940
Lazzaro,Ponti,Lazzaro Ponti,3306457934
Dott.,Raimondo,Dott. Raimondo Fattori,3152036409
Dott.,Salvatore,Dott. Salvatore Castiglione,3021621189
Ivan,Vercelloni,Ivan Vercelloni,3141198072
Fernanda,Monti,Fernanda Monti,3550820934
Puccio,Caracciolo-Garibaldi,Puccio Caracciolo-Garibaldi,3148589566
Ferdinando,Cibin,Ferdinando Cibin,3229080104
Vito,Ligorio,Vito Ligorio,3996989799
Gilberto,Cutuli,Gilberto Cutuli,3055020688
Agnolo,Abbagnale,Agnolo Abbagnale,3378542130
Raffaella,Mattarella,Raffaella Mattarella,3984467207
Raimondo,Baresi,Raimondo Baresi,3588728644
Sig.,Liberto,Sig. Liberto Tafuri,3116584028
Sig.ra,Nadia,Sig.ra Nadia Ungaretti,3142765587
Napoleone,Puccini,Napoleone Puccini,3939477257
Gianluca,Garobbio-Surian,Gianluca Garobbio-Surian,3718026583
Alessio,Flaiano,Alessio Flaiano,3587497382
Antonino,Rubbia-Agostinelli,Antonino Rubbia-Agostinelli,3198520645
Dott.,Salvatore,Dott. Salvatore Maderno,3026209549
Lara,Vecoli-Argan,Lara Vecoli-Argan,3906964033
Gianluigi,Niscoromni,Gianluigi Niscoromni,3887586447
Laureano,Bertolucci-Fieramosca,Laureano Bertolucci-Fieramosca,3625611440
Zaira,Tozzi-Bellò,Zaira Tozzi-Bellò,3516547882
Sophia,Antonucci,Sophia Antonucci,3320792244
Rosario,Pisani-Sagnelli,Rosario Pisani-Sagnelli,3271689881
